日期 天气状况 气温 风力风向
2014年03月03日 小雨/小雨 9℃/3℃ 东风≤3级/东风≤3级
2014年03月04日 多云/多云 13℃/4℃ 东风≤3级/南风≤3级
2014年03月05日 阴/小雨 9℃/4℃ 南风≤3级/东风≤3级
2014年03月06日 阴/小雨 10℃/2℃ 东北风≤3级/东风≤3级
2014年03月07日 小雨/阴 7℃/2℃ 东风≤3级/东风≤3级
2014年03月08日 晴/晴 14℃/2℃ 东风≤3级/南风≤3级
2014年03月09日 多云/多云 17℃/3℃ 南风≤3级/东风≤3级
2014年03月10日 晴/多云 17℃/6℃ 南风≤3级/西风≤3级
2014年03月11日 多云/多云 17℃/6℃ 西风≤3级/西北风3-4级
2014年03月12日 晴/晴 16℃/5℃ 西北风3-4级/东北风≤3级
2014年03月13日 晴/晴 16℃/3℃ 东北风≤3级/西风≤3级
2014年03月14日 多云/晴 19℃/4℃ 南风≤3级/东北风≤3级
2014年03月15日 晴/晴 23℃/6℃ 东风≤3级/东风≤3级
2014年03月16日 晴/多云 24℃/9℃ 东风≤3级/东北风≤3级
2014年03月17日 多云/阴 23℃/11℃ 东北风≤3级/南风≤3级
2014年03月18日 阴/阴 16℃/10℃ 东北风≤3级/东北风≤3级
2014年03月19日 多云/多云 18℃/7℃ 东北风≤3级/西南风≤3级
2014年03月20日 晴/晴 18℃/3℃ 东风≤3级/东北风≤3级
2014年03月21日 晴/晴 17℃/5℃ 东风≤3级/东风≤3级
2014年03月22日 阴/阴 19℃/8℃ 东风≤3级/东风≤3级
2014年03月23日 阴/多云 19℃/8℃ 东北风≤3级/东风≤3级
2014年03月24日 多云/多云 21℃/10℃ 东风≤3级/东风≤3级
2014年03月25日 晴/晴 25℃/10℃ 东风≤3级/东风≤3级
2014年03月26日 晴/晴 27℃/13℃ 东南风≤3级/东风≤3级
2014年03月27日 多云/阵雨 19℃/14℃ 东风≤3级/南风≤3级
2014年03月28日 多云/多云 23℃/11℃ 东风≤3级/东风≤3级
2014年03月29日 多云/阴 22℃/12℃ 东北风≤3级/东风≤3级
2014年03月30日 小雨/小雨 16℃/12℃ 东风≤3级/东风≤3级
2014年03月31日 阴/多云 17℃/10℃ 西南风≤3级/东风≤3级
2014年04月01日 多云/阴 22℃/10℃ 东风≤3级/东风≤3级
2014年04月02日 小雨/阴 23℃/12℃ 东北风≤3级/东北风≤3级
2014年04月03日 阴/多云 21℃/11℃ 东北风≤3级/东北风≤3级
2014年04月04日 阴/阴 21℃/10℃ 东北风≤3级/西南风≤3级
2014年04月05日 多云/多云 23℃/12℃ 东北风≤3级/东风≤3级
2014年04月06日 阴/多云 21℃/10℃ 东风≤3级/东风≤3级
2014年04月07日 多云/晴 22℃/11℃ 东风≤3级/东北风≤3级
2014年04月08日 晴/多云 26℃/12℃ 东北风≤3级/东北风≤3级
2014年04月09日 多云/小雨 26℃/15℃ 东北风≤3级/东北风≤3级
2014年04月10日 小雨/小雨 22℃/14℃ 西南风≤3级/西南风≤3级
2014年04月11日 小到中雨/小雨 15℃/11℃ 西南风≤3级/东北风≤3级
2014年04月12日 阴/多云 19℃/11℃ 东南风≤3级/东北风≤3级
2014年04月13日 多云/阴 22℃/13℃ 东北风≤3级/西南风≤3级
2014年04月14日 阴/阴 23℃/13℃ 东北风≤3级/东北风≤3级
2014年04月15日 小雨/小雨 19℃/14℃ 西南风≤3级/东北风≤3级
2014年04月16日 小雨/多云 18℃/13℃ 东北风≤3级/东北风≤3级
2014年04月17日 多云/小雨 20℃/13℃ 西南风≤3级/西南风≤3级
2014年04月18日 中雨/小雨 16℃/13℃ 东南风≤3级/东风≤3级
2014年04月19日 小雨/阴 17℃/12℃ 西南风≤3级/南风≤3级
2014年04月20日 阴/小雨 18℃/13℃ 南风≤3级/东风≤3级
2014年04月21日 小雨/多云 16℃/12℃ 东风≤3级/东北风≤3级
2014年04月22日 多云/多云 22℃/11℃ 东北风≤3级/东北风≤3级
2014年04月23日 多云/多云 22℃/12℃ 东风≤3级/东风≤3级
2014年04月24日 阴/小雨 21℃/13℃ 东风≤3级/西北风3-4级
2014年04月25日 中雨/多云 15℃/7℃ 西北风3-4级/东风≤3级
2014年04月26日 多云/多云 18℃/9℃ 东风≤3级/东风≤3级
2014年04月27日 多云/多云 22℃/12℃ 东北风≤3级/东北风≤3级
2014年04月28日 晴/晴 23℃/13℃ 东北风≤3级/西风≤3级
2014年04月29日 晴/晴 28℃/14℃ 西风≤3级/东风≤3级
2014年04月30日 多云/多云 31℃/15℃ 东北风≤3级/西北风3-4级
2014年05月01日 多云/多云 23℃/11℃ 西北风3-4级/西南风≤3级
2014年05月02日 多云/多云 24℃/12℃ 西南风≤3级/东北风≤3级
2014年05月03日 阴/多云 21℃/12℃ 西南风≤3级/西风≤3级
2014年05月04日 晴/晴 24℃/12℃ 西风≤3级/东风≤3级
2014年05月05日 晴/多云 23℃/13℃ 东北风≤3级/西风≤3级
2014年05月06日 晴/多云 28℃/16℃ 西风≤3级/南风≤3级
2014年05月07日 晴/晴 31℃/17℃ 东北风≤3级/东北风≤3级
2014年05月08日 多云/阴 32℃/20℃ 东北风≤3级/西南风≤3级
2014年05月09日 多云/小到中雨 26℃/14℃ 西南风≤3级/西南风≤3级
2014年05月10日 小到中雨/多云 15℃/10℃ 西南风≤3级/西南风≤3级
2014年05月11日 晴/晴 26℃/12℃ 东北风≤3级/东风≤3级
2014年05月12日 多云/阴 25℃/16℃ 东风≤3级/西南风≤3级
2014年05月13日 阵雨/多云 23℃/13℃ 东北风≤3级/东北风≤3级
2014年05月14日 阵雨/阴 24℃/13℃ 东北风≤3级/西南风≤3级
2014年05月15日 多云/多云 25℃/14℃ 东北风≤3级/东北风≤3级
2014年05月16日 多云/阴 27℃/16℃ 东北风≤3级/南风≤3级
2014年05月17日 多云/多云 25℃/17℃ 东北风≤3级/东风≤3级
2014年05月18日 多云/多云 25℃/17℃ 东北风≤3级/东风≤3级
2014年05月19日 阴/晴 28℃/16℃ 东风≤3级/东北风≤3级
2014年05月20日 晴/晴 32℃/17℃ 东风≤3级/东北风≤3级
2014年05月21日 多云/多云 32℃/20℃ 东北风≤3级/东北风≤3级
2014年05月22日 多云/阴 30℃/23℃ 东风≤3级/西南风≤3级
2014年05月23日 阵雨/小雨 24℃/20℃ 西南风≤3级/西南风≤3级
2014年05月24日 多云/多云 26℃/18℃ 西南风≤3级/东北风≤3级
2014年05月25日 阵雨/多云 25℃/17℃ 西南风≤3级/东风≤3级
2014年05月26日 晴/晴 30℃/17℃ 东北风≤3级/东风≤3级
2014年05月27日 晴/晴 34℃/18℃ 东北风≤3级/东北风≤3级
2014年05月28日 多云/多云 32℃/20℃ 东风≤3级/东风≤3级
2014年05月29日 多云/多云 33℃/21℃ 西南风≤3级/东风≤3级
2014年05月30日 阴/阴 30℃/22℃ 西南风≤3级/西南风≤3级
2014年05月31日 阵雨/多云 27℃/20℃ 西南风≤3级/东风≤3级
2014年06月01日 晴/晴 30℃/21℃ 东北风≤3级/东北风≤3级
2014年06月02日 晴/多云 33℃/22℃ 东风≤3级/东风≤3级
2014年06月03日 阴/小雨 30℃/21℃ 东风≤3级/西南风≤3级
2014年06月04日 多云/多云 30℃/20℃ 西南风≤3级/西南风≤3级
2014年06月05日 多云/阴 31℃/21℃ 东北风≤3级/西南风≤3级
2014年06月06日 阴/多云 32℃/20℃ 西南风≤3级/东风≤3级
2014年06月07日 多云/多云 32℃/20℃ 东风≤3级/东风≤3级
2014年06月08日 多云/晴 33℃/20℃ 东风≤3级/东风≤3级
2014年06月09日 多云/多云 33℃/22℃ 东风≤3级/东风≤3级
2014年06月10日 多云/晴 35℃/20℃ 东北风≤3级/东风≤3级
2014年06月11日 晴/多云 36℃/22℃ 东北风≤3级/东北风≤3级
2014年06月12日 阴/阴 31℃/22℃ 西南风≤3级/西南风≤3级
2014年06月13日 小雨/小雨 25℃/20℃ 西南风≤3级/西风≤3级
2014年06月14日 小到中雨/多云 24℃/19℃ 南风≤3级/西南风≤3级
2014年06月15日 多云/晴 29℃/20℃ 西风≤3级/东北风≤3级
2014年06月16日 晴/晴 34℃/22℃ 东北风≤3级/东风≤3级
2014年06月17日 晴/晴 37℃/23℃ 东北风≤3级/东北风≤3级
2014年06月18日 多云/阵雨 37℃/23℃ 东北风≤3级/西南风≤3级
2014年06月19日 阵雨/多云 27℃/19℃ 西南风≤3级/东风≤3级
2014年06月20日 晴/多云 29℃/20℃ 东风≤3级/东北风≤3级
2014年06月21日 晴/晴 32℃/21℃ 东风≤3级/东风≤3级
2014年06月22日 晴/晴 35℃/23℃ 东风≤3级/东北风≤3级
2014年06月23日 晴/多云 35℃/24℃ 东北风≤3级/东北风≤3级
2014年06月24日 阴/小雨 30℃/21℃ 东风≤3级/西南风≤3级
2014年06月25日 阴/阴 29℃/21℃ 西南风≤3级/东风≤3级
2014年06月26日 多云/多云 32℃/22℃ 东风≤3级/西南风≤3级
2014年06月27日 多云/多云 36℃/24℃ 西南风≤3级/西南风≤3级
2014年06月28日 小雨/小雨 28℃/22℃ 西南风≤3级/西南风≤3级
2014年06月29日 多云/晴 32℃/21℃ 东风≤3级/东风≤3级
2014年06月30日 多云/阴 34℃/23℃ 东北风≤3级/南风≤3级
2014年07月01日 阵雨/晴 33℃/22℃ 南风≤3级/西南风≤3级
2014年07月02日 晴/多云 36℃/24℃ 东北风≤3级/东北风≤3级
2014年07月03日 小雨/小雨 30℃/23℃ 东风≤3级/东风≤3级
2014年07月04日 多云/晴 33℃/22℃ 东北风≤3级/东风≤3级
2014年07月05日 晴/晴 36℃/24℃ 东风≤3级/东风≤3级
2014年07月06日 晴/晴 35℃/25℃ 东风≤3级/东风≤3级
2014年07月07日 多云/多云 36℃/27℃ 东风≤3级/东风≤3级
2014年07月08日 多云/阵雨 37℃/24℃ 东北风≤3级/西南风≤3级
2014年07月09日 阵雨/中雨 26℃/21℃ 西南风≤3级/西南风≤3级
2014年07月10日 阴/多云 27℃/20℃ 西南风≤3级/西南风≤3级
2014年07月11日 多云/多云 32℃/22℃ 东北风≤3级/东北风≤3级
2014年07月12日 多云/晴 34℃/22℃ 西南风≤3级/东北风≤3级
2014年07月13日 晴/晴 35℃/23℃ 东北风≤3级/东风≤3级
2014年07月14日 晴/晴 36℃/22℃ 东北风≤3级/东风≤3级
2014年07月15日 晴/晴 35℃/24℃ 东风≤3级/东风≤3级
2014年07月16日 晴/晴 38℃/25℃ 东风≤3级/东北风≤3级
2014年07月17日 晴/晴 37℃/25℃ 东北风≤3级/东北风≤3级
2014年07月18日 晴/多云 37℃/23℃ 东北风≤3级/东北风≤3级
2014年07月19日 多云/多云 36℃/26℃ 东北风≤3级/东北风≤3级
2014年07月20日 多云/晴 37℃/26℃ 东北风≤3级/东北风≤3级
2014年07月21日 多云/多云 38℃/28℃ 东北风≤3级/东风≤3级
2014年07月22日 多云/多云 39℃/26℃ 东风≤3级/西南风≤3级
2014年07月23日 阵雨/阵雨 28℃/22℃ 西南风≤3级/西南风≤3级
2014年07月24日 多云/晴 33℃/22℃ 西南风≤3级/东北风≤3级
2014年07月25日 晴/晴 33℃/22℃ 东北风≤3级/东风≤3级
2014年07月26日 晴/晴 35℃/23℃ 东风≤3级/东风≤3级
2014年07月27日 多云/多云 36℃/25℃ 东风≤3级/东风≤3级
2014年07月28日 晴/多云 36℃/26℃ 东风≤3级/东风≤3级
2014年07月29日 晴/晴 35℃/26℃ 东风≤3级/东北风≤3级
2014年07月30日 晴/晴 38℃/26℃ 东风≤3级/东风≤3级
2014年07月31日 晴/晴 38℃/26℃ 东风≤3级/东风≤3级
2014年08月01日 晴/晴 36℃/25℃ 东风≤3级/东北风≤3级
2014年08月02日 晴/晴 37℃/26℃ 东风≤3级/东风≤3级
2014年08月03日 晴/晴 37℃/26℃ 东风≤3级/东风≤3级
2014年08月04日 多云/多云 36℃/26℃ 东风≤3级/东风≤3级
2014年08月05日 阴/阵雨 34℃/25℃ 西南风≤3级/西南风≤3级
2014年08月06日 小到中雨/小到中雨 25℃/20℃ 西南风≤3级/东北风3-4级
2014年08月07日 小到中雨/中雨 22℃/18℃ 西南风≤3级/西南风≤3级
2014年08月08日 中雨/暴雨 19℃/18℃ 西南风≤3级/西南风≤3级
2014年08月09日 小雨/多云 22℃/19℃ 西南风≤3级/西南风≤3级
2014年08月10日 多云/阴 27℃/21℃ 东风≤3级/东风≤3级
2014年08月11日 阴/多云 30℃/22℃ 西南风≤3级/东风≤3级
2014年08月12日 阵雨/多云 26℃/18℃ 东风≤3级/西南风≤3级
2014年08月13日 多云/晴 29℃/19℃ 东风≤3级/东风≤3级
2014年08月14日 晴/多云 31℃/19℃ 东风≤3级/东风≤3级
2014年08月15日 多云/阴 32℃/18℃ 东风≤3级/东风≤3级
2014年08月16日 小雨/中雨 26℃/20℃ 东风≤3级/东风≤3级
2014年08月17日 阵雨/阴 25℃/20℃ 西南风≤3级/西南风≤3级
2014年08月18日 多云/晴 27℃/19℃ 东风≤3级/东风≤3级
2014年08月19日 晴/晴 31℃/20℃ 东风≤3级/东风≤3级
2014年08月20日 多云/阴 31℃/21℃ 东风≤3级/东风≤3级
2014年08月21日 阴/阴 31℃/22℃ 东风≤3级/西南风≤3级
2014年08月22日 阵雨/小雨 30℃/21℃ 西南风≤3级/西南风≤3级
2014年08月23日 阴/多云 28℃/20℃ 东风≤3级/东风≤3级
2014年08月24日 晴/晴 30℃/19℃ 东风≤3级/东风≤3级
2014年08月25日 晴/多云 32℃/19℃ 东北风≤3级/东北风≤3级
2014年08月26日 阴/阴 30℃/19℃ 东风≤3级/东风≤3级
2014年08月27日 多云/多云 31℃/20℃ 东北风≤3级/东风≤3级
2014年08月28日 晴/多云 32℃/21℃ 东北风≤3级/东北风≤3级
2014年08月29日 多云/小雨 32℃/20℃ 西南风≤3级/东风≤3级
2014年08月30日 大雨/小雨 24℃/20℃ 西南风≤3级/东风≤3级
2014年08月31日 阴/小雨 24℃/18℃ 西南风≤3级/东风≤3级
2014年09月01日 小到中雨/阴 22℃/18℃ 西南风≤3级/西南风≤3级
2014年09月02日 多云/晴 30℃/18℃ 西风≤3级/东风≤3级
2014年09月03日 晴/多云 30℃/18℃ 东风≤3级/东风≤3级
2014年09月04日 晴/晴 30℃/18℃ 东风≤3级/东风≤3级
2014年09月05日 多云/多云 30℃/20℃ 东风≤3级/东风≤3级
2014年09月06日 阴/阵雨 29℃/21℃ 西南风≤3级/东北风≤3级
2014年09月07日 小雨/小雨 23℃/20℃ 东风≤3级/东风≤3级
2014年09月08日 小雨/中雨 27℃/20℃ 东北风≤3级/东风≤3级
2014年09月09日 小雨/小雨 22℃/19℃ 西南风≤3级/西南风≤3级
2014年09月10日 中雨/小雨 22℃/21℃ 西南风≤3级/东北风≤3级
2014年09月11日 中雨/暴雨 22℃/19℃ 东北风≤3级/东北风≤3级
2014年09月12日 小雨/小到中雨 24℃/17℃ 东北风≤3级/东北风≤3级
2014年09月13日 中雨/小到中雨 19℃/16℃ 东北风≤3级/西南风≤3级
2014年09月14日 小到中雨/中雨 19℃/15℃ 西南风≤3级/西南风≤3级
2014年09月15日 中雨/中雨 19℃/15℃ 西南风≤3级/东北风≤3级
2014年09月16日 小雨/中雨 17℃/15℃ 西南风≤3级/东风≤3级
2014年09月17日 小雨/小雨 22℃/16℃ 东北风≤3级/东北风≤3级
2014年09月18日 阴/多云 24℃/15℃ 东风≤3级/东风≤3级
2014年09月19日 多云/晴 26℃/16℃ 东北风≤3级/东北风≤3级
2014年09月20日 晴/晴 30℃/17℃ 东北风≤3级/东北风≤3级
2014年09月21日 多云/多云 28℃/18℃ 东北风≤3级/东北风≤3级
2014年09月22日 阴/小雨 28℃/18℃ 东北风≤3级/西南风≤3级
2014年09月23日 小雨/阴 22℃/14℃ 东风≤3级/东风≤3级
2014年09月24日 晴/多云 25℃/15℃ 东风≤3级/东风≤3级
2014年09月25日 阴/阴 26℃/17℃ 东风≤3级/东风≤3级
2014年09月26日 阴/小雨 24℃/16℃ 西南风≤3级/东风≤3级
2014年09月27日 小雨/中雨 22℃/17℃ 东风≤3级/东风≤3级
2014年09月28日 小雨/阴 19℃/16℃ 东风≤3级/东风≤3级
2014年09月29日 多云/多云 23℃/16℃ 东北风≤3级/东北风≤3级
2014年09月30日 多云/小雨 27℃/17℃ 东北风≤3级/西南风≤3级
2014年10月01日 小雨/晴 23℃/16℃ 西南风≤3级/东北风≤3级
2014年10月02日 晴/晴 28℃/16℃ 东风≤3级/东风≤3级
2014年10月03日 多云/阵雨 26℃/15℃ 东风≤3级/东风≤3级
2014年10月04日 多云/晴 23℃/12℃ 东风≤3级/东风≤3级
2014年10月05日 晴/晴 26℃/14℃ 东北风≤3级/东风≤3级
2014年10月06日 晴/多云 26℃/14℃ 东风≤3级/东风≤3级
2014年10月07日 多云/阴 24℃/15℃ 东风≤3级/东风≤3级
2014年10月08日 霾/霾 24℃/16℃ 东风≤3级/东风≤3级
2014年10月09日 霾/霾 24℃/15℃ 东风≤3级/东风≤3级
2014年10月10日 霾/多云 23℃/14℃ 东北风≤3级/北风≤3级
2014年10月11日 阴/小雨 17℃/11℃ 北风3-4级/北风3-4级
2014年10月12日 小雨/阴 12℃/8℃ 东风≤3级/东风≤3级
2014年10月13日 多云/晴 16℃/9℃ 东风≤3级/东风≤3级
2014年10月14日 晴/晴 20℃/10℃ 东风≤3级/东风≤3级
2014年10月15日 多云/阴 21℃/13℃ 东风≤3级/东风≤3级
2014年10月16日 阴/阴 19℃/13℃ 东风≤3级/西南风≤3级
2014年10月17日 多云/多云 21℃/13℃ 东风≤3级/东风≤3级
2014年10月18日 多云/阴 20℃/10℃ 北风≤3级/东风≤3级
2014年10月19日 阴/阴 20℃/13℃ 西南风≤3级/西南风≤3级
2014年10月20日 阴/多云 20℃/10℃ 东风≤3级/东风≤3级
2014年10月21日 多云/晴 24℃/11℃ 东北风≤3级/东风≤3级
2014年10月22日 多云/多云 23℃/11℃ 东风≤3级/南风≤3级
2014年10月23日 晴/晴 21℃/10℃ 东风≤3级/东风≤3级
2014年10月24日 晴/晴 25℃/12℃ 东风≤3级/东风≤3级
2014年10月25日 晴/晴 25℃/11℃ 东风≤3级/东风≤3级
2014年10月26日 晴/多云 27℃/12℃ 东风≤3级/东风≤3级
2014年10月27日 多云/阴 21℃/11℃ 西南风≤3级/西南风≤3级
2014年10月28日 小雨/小雨 15℃/11℃ 西南风≤3级/东风≤3级
2014年10月29日 多云/小雨 14℃/11℃ 西南风≤3级/东风≤3级
2014年10月30日 阴/小雨 17℃/11℃ 东风≤3级/东风≤3级
2014年10月31日 小雨/阴 16℃/9℃ 东风≤3级/西南风≤3级
2014年11月01日 阴/多云 14℃/6℃ 西南风≤3级/东北风≤3级
2014年11月02日 晴/晴 16℃/3℃ 东风≤3级/东风≤3级
2014年11月03日 晴/晴 17℃/6℃ 东风≤3级/东风≤3级
2014年11月04日 晴/多云 20℃/8℃ 东风≤3级/东风≤3级
2014年11月05日 晴/晴 19℃/6℃ 东风≤3级/东风≤3级
2014年11月06日 多云/小雨 18℃/8℃ 东风≤3级/东风≤3级
2014年11月07日 小雨/阴 15℃/8℃ 东风≤3级/东风≤3级
2014年11月08日 多云/多云 14℃/8℃ 东风≤3级/东风≤3级
2014年11月09日 多云/阴 12℃/7℃ 东风≤3级/东风≤3级
2014年11月10日 多云/多云 12℃/7℃ 东风≤3级/北风3-4级
2014年11月11日 晴/晴 14℃/6℃ 北风3-4级/北风≤3级
2014年11月12日 多云/多云 12℃/3℃ 北风≤3级/东风≤3级
2014年11月13日 晴/晴 13℃/3℃ 东风≤3级/东风≤3级
2014年11月14日 阴/小雨 12℃/4℃ 西风≤3级/西南风≤3级
2014年11月15日 多云/晴 14℃/3℃ 西北风≤3级/东风≤3级
2014年11月16日 晴/晴 13℃/2℃ 东风≤3级/东风≤3级
2014年11月17日 晴/晴 12℃/3℃ 东风≤3级/东风≤3级
2014年11月18日 多云/多云 13℃/4℃ 东风≤3级/东风≤3级
2014年11月19日 晴/晴 15℃/3℃ 东风≤3级/东风≤3级
2014年11月20日 多云/多云 13℃/4℃ 东风≤3级/东风≤3级
2014年11月21日 阴/阴 12℃/5℃ 东风≤3级/东风≤3级
2014年11月22日 小雨/小雨 10℃/5℃ 东风≤3级/东风≤3级
2014年11月23日 小雨/小雨 6℃/4℃ 西南风≤3级/东风≤3级
2014年11月24日 小雨/阴 9℃/5℃ 东风≤3级/东风≤3级
2014年11月25日 多云/多云 11℃/3℃ 东风≤3级/东风≤3级
2014年11月26日 阴/小雨 10℃/4℃ 西南风≤3级/东风≤3级
2014年11月27日 阴/多云 7℃/2℃ 东风≤3级/东风≤3级
2014年11月28日 多云/阴 10℃/3℃ 东风≤3级/东风≤3级
2014年11月29日 小雨/阴 8℃/4℃ 东风≤3级/西南风≤3级
2014年11月30日 晴/晴 6℃/-1℃ 东风≤3级/东风≤3级
2014年12月01日 晴/晴 5℃/-2℃ 北风≤3级/北风3-4级
2014年12月02日 多云/多云 5℃/-2℃ 北风≤3级/北风≤3级
2014年12月03日 晴/晴 7℃/-3℃ 东风≤3级/东风≤3级
2014年12月04日 晴/晴 4℃/-3℃ 东风≤3级/东风≤3级
2014年12月05日 晴/多云 5℃/-2℃ 东风≤3级/西北风≤3级
2014年12月06日 多云/多云 5℃/-2℃ 西北风≤3级/东风≤3级
2014年12月07日 晴/晴 8℃/-2℃ 东风≤3级/东风≤3级
2014年12月08日 阴/阴 7℃/1℃ 东风≤3级/西南风≤3级
2014年12月09日 雨夹雪/阴 3℃/1℃ 西南风≤3级/西南风≤3级
2014年12月10日 阴/多云 5℃/-2℃ 西北风≤3级/西北风≤3级
2014年12月11日 多云/晴 5℃/-2℃ 西北风≤3级/西北风≤3级
2014年12月12日 晴/晴 7℃/-3℃ 西北风≤3级/东风≤3级
2014年12月13日 晴/晴 8℃/-3℃ 东风≤3级/东风≤3级
2014年12月14日 多云/多云 8℃/-2℃ 东风≤3级/东风≤3级
2014年12月15日 多云/多云 4℃/-6℃ 西北风微风/西北风微风
2014年12月16日 晴/多云 5℃/-3℃ 西北风≤3级/西北风≤3级
2014年12月17日 多云/多云 6℃/-4℃ 东风≤3级/东风≤3级
2014年12月18日 多云/晴 8℃/-3℃ 西北风≤3级/东风≤3级
2014年12月19日 晴/多云 7℃/-3℃ 东风≤3级/东风≤3级
2014年12月20日 多云/晴 4℃/-3℃ 东风≤3级/东风≤3级
2014年12月21日 晴/晴 6℃/-4℃ 东风≤3级/西北风≤3级
2014年12月22日 多云/阴 5℃/-3℃ 西北风≤3级/西风≤3级
2014年12月23日 晴/多云 8℃/-3℃ 东风≤3级/东风≤3级
2014年12月24日 阴/阴 7℃/-3℃ 东风≤3级/东风≤3级
2014年12月25日 雨夹雪/阴 5℃/-2℃ 东风≤3级/东风≤3级
2014年12月26日 多云/阴 4℃/-2℃ 东风≤3级/东北风≤3级
2014年12月27日 多云/多云 7℃/-2℃ 西北风≤3级/东北风≤3级
